gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,-1.277444584,0,1,0,0,2,0,0,0,0,0,1,2,-1.160322916,2505,No
1,0,0,0,0.066327419,1,0,0,2,0,2,0,0,0,1,0,3,-0.259628942,1466,No
1,0,0,0,-1.23672422,1,0,0,2,2,0,0,0,0,0,1,3,-0.362660356,157,Yes
1,0,0,0,0.51425142,0,1,0,2,0,2,2,0,0,1,0,0,-0.746535463,1400,No
0,0,0,0,-1.23672422,1,0,1,0,0,0,0,0,0,0,1,2,0.197365233,925,Yes
0,0,0,0,-0.992402038,1,2,1,0,0,2,0,2,2,0,1,2,1.159545696,6104,Yes
1,0,0,1,-0.422316946,1,2,1,0,2,0,0,2,0,0,1,1,0.808906529,1550,No
0,0,0,0,-0.91096131,0,1,0,2,0,0,0,0,0,0,0,3,-1.16364651,2609,No
0,0,1,0,-0.177994763,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787,2646,Yes
1,0,0,1,1.206497603,1,0,0,2,2,0,0,0,0,1,0,0,-0.286217694,3022,No
1,0,1,1,-0.788800219,1,0,0,2,0,0,0,0,0,0,1,3,-0.492280522,4823,No
1,0,0,0,-0.666639128,1,0,2,1,1,1,1,1,1,2,0,1,-1.522594662,2836,No
1,0,1,0,1.043616148,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854,4693,No
1,0,0,0,0.677132875,1,2,1,0,2,2,0,2,2,0,1,0,1.294151253,4265,Yes
1,0,0,0,-0.300155854,1,0,1,2,0,2,2,2,2,0,1,2,1.353975945,2337,No
0,0,1,1,1.491540149,1,2,1,2,2,2,2,2,2,2,0,1,1.61155448,5959,No
0,0,0,0,0.799293966,1,0,2,1,1,1,1,1,1,1,0,3,-1.466093564,46,No
1,0,0,1,1.572980877,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073,5704,No
0,0,1,1,-0.91096131,1,0,0,0,0,2,2,0,0,0,0,1,-0.317791837,4416,Yes
0,0,0,0,-0.463037309,1,0,1,0,2,2,0,0,2,0,1,2,0.840480672,1433,No
1,1,0,0,-1.277444584,0,1,0,0,0,2,0,0,2,0,1,2,-0.834610704,3340,Yes
1,0,1,0,-0.829520583,1,0,2,1,1,1,1,1,1,1,0,0,-1.494344113,1651,No
1,0,0,0,-1.277444584,1,0,2,1,1,1,1,1,1,0,0,3,-1.482711534,1609,Yes
0,0,1,0,1.043616148,1,2,0,0,2,0,2,0,0,2,1,1,-0.161582919,3041,No
1,0,1,1,0.677132875,1,0,0,2,2,0,2,0,0,0,0,1,-0.171553701,2567,No
0,0,0,0,-0.096554036,1,0,0,2,2,0,0,0,0,0,1,0,-0.314468243,959,No
1,0,1,1,0.595692147,1,2,1,0,2,0,0,2,2,0,1,2,1.149574914,4019,Yes
1,0,1,1,-1.277444584,0,1,0,0,2,0,0,0,0,0,0,2,-1.148690337,2592,Yes
1,0,1,0,1.61370124,1,2,0,2,2,2,2,2,2,2,1,1,0.84712786,5135,No
0,0,0,1,-0.625918764,1,0,0,0,0,0,0,2,2,0,1,3,-0.002050407,184,Yes
0,1,1,0,1.572981,1,2,1,2,2,2,2,0,0,2,1,1,1.049867,5354,No
1,1,1,0,-1.23672,1,0,1,0,0,2,0,2,2,0,1,1,1.021617,1360,No
0,0,1,1,-0.21872,1,0,0,2,2,2,2,0,0,1,0,3,0.046142,1449,No
1,0,0,0,-1.27744,1,0,2,1,1,1,1,1,1,0,0,0,-1.48105,1610,No
1,1,0,0,-1.27744,1,0,0,0,0,0,0,0,0,0,0,0,-0.64849,3815,No
0,0,1,1,1.613701,1,2,1,2,2,0,2,2,0,2,0,0,1.167855,5644,No
1,0,0,0,-1.11456,1,0,1,0,0,0,0,0,0,0,1,2,0.164129,2742,Yes
0,0,0,0,0.554971784,1,0,1,0,0,2,0,0,0,0,1,1,0.333632587,3073,No
1,0,0,0,0.066327419,1,2,1,0,2,2,0,2,2,0,1,2,1.382226494,3074,Yes
0,0,0,0,-0.870240946,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004,202,Yes
1,0,1,1,-0.91096131,1,0,0,0,2,0,0,0,0,1,0,3,-0.505574898,4024,No
0,0,1,1,1.532260513,1,2,0,2,2,0,0,2,0,2,1,1,0.147511323,4118,No
0,0,1,1,-0.625918764,1,0,2,1,1,1,1,1,1,1,0,3,-1.46276997,3572,No
0,0,0,0,1.247217967,1,2,0,2,2,2,2,2,0,2,1,1,0.501474084,4105,No
0,0,1,0,-0.788800219,1,2,0,2,2,0,2,2,0,0,1,2,0.380162903,6503,No
0,0,0,0,0.677132875,1,2,1,0,0,0,0,0,2,0,1,2,0.656021205,3348,No
1,0,0,0,-1.23672422,1,0,0,0,2,0,0,0,0,0,0,3,-0.51554568,6481,No
0,0,0,0,-1.23672422,1,0,1,0,0,0,0,2,0,0,1,2,0.528062836,809,Yes
1,0,0,0,0.799293966,1,2,0,2,0,0,2,2,2,2,1,1,0.49815049,3599,No
0,0,1,1,1.491540149,1,2,0,2,0,2,2,0,0,2,1,1,-0.020330174,3625,No
0,1,0,0,0.432810693,1,2,1,0,2,0,0,2,0,0,1,2,0.84712786,3285,No
0,0,0,0,-0.707359492,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929,789,Yes
0,1,1,0,-0.300155854,1,2,0,2,0,0,2,2,0,0,1,1,0.157482105,1275,No
0,1,1,0,-0.992402038,1,2,1,0,2,0,0,0,0,0,1,1,0.528062836,5113,Yes
0,1,1,1,1.125056876,1,0,0,2,2,2,2,0,2,1,1,1,0.335294384,3782,No
1,1,0,0,-0.5851984,1,2,1,0,0,0,0,2,2,0,1,2,1.019954748,1274,Yes
0,0,1,1,1.247217967,1,2,1,2,0,0,0,2,2,1,1,1,1.159545696,5104,No
1,1,1,1,1.369379058,1,2,1,0,2,2,2,2,2,1,1,2,1.452021968,5555,No
0,0,1,1,0.066327419,1,2,2,1,1,1,1,1,1,2,0,1,-1.323179022,6314,No
0,0,0,0,1.61370124,1,2,1,0,0,2,2,2,2,2,1,1,1.420447825,5937,No
0,0,1,0,0.595692147,1,2,1,0,0,2,0,2,2,0,1,2,1.187796245,3985,No
1,0,0,0,1.125056876,1,2,1,0,2,0,0,2,0,0,1,0,0.835495281,4530,No
1,0,1,0,1.61370124,0,1,0,2,2,2,0,0,0,2,0,0,-0.753182651,2558,No
0,0,1,1,-0.5851984,1,0,0,0,0,2,2,0,0,1,1,1,-0.344380589,6459,No
0,0,0,0,-0.951681674,1,2,1,0,0,0,0,2,2,0,0,2,0.985057011,6234,Yes
0,0,0,0,-1.196003856,1,0,0,0,2,0,2,2,2,0,1,2,0.350250557,2086,No
1,0,1,0,0.595692147,1,2,1,0,2,0,0,0,0,1,1,2,0.469899941,3157,No
0,0,0,0,-0.055833672,1,0,0,0,2,2,2,2,2,2,0,3,0.479870723,2143,No
0,0,1,1,0.717853239,1,0,2,1,1,1,1,1,1,2,0,0,-1.482711534,6399,No
1,0,0,0,-0.91096131,1,0,1,2,0,2,0,0,0,0,1,3,0.501474084,6290,No
1,0,0,0,-1.277444584,1,0,0,0,0,0,2,0,0,0,0,3,-0.522192868,4137,No
0,0,1,1,0.799293966,1,0,2,1,1,1,1,1,1,1,1,2,-1.474402549,181,No
1,1,1,1,1.287938331,1,2,1,2,0,2,2,2,2,2,1,0,1.556715179,5563,No
1,0,1,1,1.206497603,1,2,2,1,1,1,1,1,1,2,1,0,-1.34644418,785,No
0,0,0,1,-1.196003856,1,0,0,2,0,0,2,0,2,0,1,0,-0.008697595,1295,No
0,1,0,0,0.962175421,1,2,1,2,2,2,0,2,2,1,0,2,1.520155645,5009,No
0,0,0,0,0.554971784,1,0,0,0,0,0,0,0,2,1,0,1,-0.302835664,2339,No
0,0,1,1,-0.992402038,1,0,0,2,2,0,0,0,0,0,0,3,-0.336071604,4071,No
1,1,0,0,-0.096554036,1,0,0,2,2,0,0,2,2,0,1,2,0.33197079,1742,No
0,0,1,1,0.51425142,1,2,2,1,1,1,1,1,1,1,1,1,-1.291604879,397,No
0,0,0,1,-1.277444584,1,0,1,0,0,0,0,2,0,0,1,2,0.484856114,5966,Yes
0,0,1,1,-0.870240946,0,1,0,2,0,0,0,2,2,0,0,2,-0.472338958,4676,No
0,0,1,0,-1.033122401,1,0,1,0,0,2,0,0,0,0,1,0,0.345265166,4199,Yes
0,0,0,0,0.392090329,1,0,1,0,2,2,2,2,2,0,1,0,1.297474847,3682,No
0,0,1,0,0.677132875,1,0,2,1,1,1,1,1,1,2,1,0,-1.482711534,6491,No
1,0,0,0,-0.951681674,1,2,1,0,2,0,0,2,2,0,1,1,1.147913117,6364,No
0,0,1,0,0.107047783,1,0,0,2,0,0,0,2,0,1,1,0,-0.086802054,1852,No
0,0,1,1,0.636412511,1,0,2,1,1,1,1,1,1,2,0,0,-1.466093564,108,No
0,0,1,1,0.554971784,1,0,2,1,1,1,1,1,1,2,1,3,-1.489358722,6382,No
1,0,1,0,-0.1372744,0,1,0,0,0,0,0,2,0,0,0,3,-1.03070275,19,No
1,0,1,1,-0.096554036,1,0,1,0,2,2,0,0,0,0,0,0,0.574593152,2229,No
1,1,0,0,-1.277444584,1,0,1,0,0,0,2,0,0,0,0,2,0.330308993,5723,No
1,0,1,1,1.369379058,1,2,0,2,0,2,2,2,2,2,1,3,0.639403235,4717,No
0,0,0,0,1.328658694,1,2,1,2,2,2,0,2,2,0,1,1,1.538435412,5575,No
1,0,0,0,1.61370124,1,2,1,0,2,2,0,2,2,2,1,0,1.201090621,5751,No
0,0,0,0,-0.829520583,1,2,1,2,0,0,0,0,0,0,1,2,0.471561738,6384,Yes
1,0,1,1,1.572980877,1,2,0,2,2,0,2,0,0,1,1,1,0.069406864,4018,No
1,0,0,0,-1.114563129,1,0,2,1,1,1,1,1,1,0,0,3,-1.452799188,252,Yes
1,0,0,0,0.799293966,1,0,2,1,1,1,1,1,1,2,0,0,-1.454460985,203,No
0,1,1,0,-0.300155854,1,0,1,0,2,2,0,2,2,0,1,2,1.121324365,2175,Yes
1,0,0,0,-1.277444584,1,0,2,1,1,1,1,1,1,0,0,3,-1.481049737,1610,No
0,0,1,1,-1.277444584,1,0,2,1,1,1,1,1,1,0,0,2,-1.505976692,1483,No
1,0,0,0,0.229208874,1,2,1,0,0,2,2,2,0,1,0,0,1.004998575,3122,No
0,1,1,0,1.369379058,0,1,0,0,2,2,0,2,0,1,0,0,-0.638518658,2630,No
1,0,1,0,1.450819786,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675,5833,Yes
1,0,0,0,-1.114563129,0,1,0,0,0,0,0,0,0,0,0,3,-1.344782383,1,No
0,0,1,1,1.61370124,1,2,1,2,2,0,0,2,2,1,1,2,1.309107426,5672,No
0,0,0,0,-0.015113308,0,1,0,2,0,0,0,0,0,1,0,3,-1.150352134,6385,No
1,0,0,0,0.432810693,1,2,1,0,0,0,0,2,2,1,0,3,0.983395214,3358,No
1,0,1,1,1.61370124,1,0,2,1,1,1,1,1,1,2,0,1,-1.507638489,658,No
1,0,1,0,0.921455057,1,2,1,2,2,0,0,2,0,0,1,2,1.06316147,4391,Yes
0,0,0,0,0.799293966,1,0,0,2,0,2,2,0,0,1,0,1,-0.226393002,2642,No
0,0,0,0,0.432810693,1,0,1,0,2,2,0,2,0,0,1,2,0.893658176,3380,No
0,1,1,0,0.18848851,1,2,1,0,0,0,0,0,0,0,1,2,0.390133685,2475,Yes
0,0,1,1,1.287938331,0,1,0,0,2,0,2,2,2,2,1,2,-0.337733401,2967,No
1,0,1,1,-1.196003856,1,0,1,2,2,0,0,2,0,0,0,2,0.833833484,2128,No
0,0,0,0,0.147768147,0,1,0,2,0,0,0,0,0,2,0,0,-1.120439788,240,No
0,0,1,1,-0.91096131,1,2,1,2,0,0,0,2,2,0,1,2,1.17948726,124,Yes
0,0,0,0,0.351369965,1,0,2,1,1,1,1,1,1,2,0,3,-1.466093564,6160,No
1,0,1,1,-0.218715127,1,2,1,0,2,0,2,0,0,0,1,1,0.679286363,1769,No
0,0,1,1,0.962175421,1,2,1,0,0,2,0,2,2,1,1,1,1.164531087,4581,No
0,0,0,0,-1.073842765,1,0,2,1,1,1,1,1,1,0,0,3,-1.464431767,230,No
1,0,0,0,-1.196003856,1,2,1,0,0,0,0,0,0,0,1,2,0.320338211,1931,Yes
0,0,1,1,-1.033122401,1,0,0,2,0,0,0,0,0,0,0,3,-0.467353567,3039,No
0,0,1,1,-1.155283493,1,0,2,1,1,1,1,1,1,0,0,3,-1.459446376,5043,No
1,0,0,0,0.025607055,1,0,1,2,0,0,2,2,0,2,1,2,0.803921138,2632,No
0,1,0,0,-0.218715127,1,2,1,0,0,2,0,0,0,0,1,2,0.441649392,1755,Yes
1,0,1,0,1.61370124,1,2,2,1,1,1,1,1,1,2,1,0,-1.369709338,1228,No
1,0,0,0,-1.277444584,1,0,2,1,1,1,1,1,1,0,0,3,-1.49600591,1489,No
1,1,0,0,1.572980877,0,1,0,2,2,0,0,2,2,1,1,2,-0.276246912,3403,No
0,0,0,0,-0.788800219,1,2,1,0,0,0,0,0,2,0,1,2,0.704213318,394,No
0,0,1,1,-0.300155854,0,1,0,2,2,2,0,2,2,0,1,1,-0.204789641,912,Yes
1,0,0,0,1.410099422,1,0,0,0,0,0,2,0,0,2,0,0,-0.472338958,2837,No
1,0,0,0,-1.277444584,0,1,0,0,0,0,0,0,2,0,1,2,-0.974201652,3032,Yes
1,0,0,0,-1.23672422,1,0,0,0,0,0,0,0,0,0,0,2,-0.678401786,6058,Yes
0,0,0,0,0.432810693,1,2,2,1,1,1,1,1,1,2,1,1,-1.298252067,348,No
0,0,0,0,-0.381596582,1,0,1,2,0,0,0,0,0,0,1,0,0.340279775,1304,No
0,0,1,1,1.287938331,1,0,2,1,1,1,1,1,1,2,0,3,-1.481049737,510,No
1,0,0,1,1.002895785,1,0,2,1,1,1,1,1,1,2,1,3,-1.500991301,319,No
0,1,1,0,-1.277444584,1,0,1,0,0,0,0,0,0,0,1,3,0.189056248,5510,Yes
0,1,1,1,1.61370124,1,2,0,2,2,2,2,2,2,2,1,1,0.774008792,5173,No
0,0,0,0,-0.992402038,1,2,0,2,0,0,2,0,2,0,0,2,0.212321406,4664,Yes
0,0,1,0,1.16577724,1,2,1,0,2,0,0,2,2,2,1,0,1.206076012,4894,No
1,0,0,0,1.287938331,1,2,1,2,2,0,0,0,0,1,1,1,0.649374017,4419,No
1,1,1,0,1.572980877,1,2,2,1,1,1,1,1,1,2,0,0,-1.356414962,1278,No
0,0,1,1,1.328658694,1,2,1,2,2,0,2,2,0,2,1,1,1.139604132,5168,No
1,0,0,0,-1.196003856,1,0,2,1,1,1,1,1,1,1,0,3,-1.500991301,4983,No
1,0,0,0,-1.277444584,1,0,0,0,0,0,0,0,0,0,1,2,-0.635195064,3821,Yes
1,0,0,1,-0.096554036,1,0,0,0,2,2,0,2,0,1,0,1,-0.008697595,1528,No
1,0,1,1,-0.707359492,1,0,0,0,2,2,2,0,2,0,1,3,0.157482105,141,No
0,0,1,1,-0.992402038,1,0,0,0,0,0,2,2,2,0,1,2,0.125907962,4669,No
1,0,0,0,-1.033122401,1,2,1,0,0,0,0,2,2,0,0,3,1.004998575,5236,Yes
0,0,1,1,1.532260513,1,2,1,2,2,2,0,2,2,1,1,1,1.442051186,5988,No
1,0,1,1,1.206497603,1,0,0,2,2,2,2,2,2,2,0,2,0.709198709,4370,No
0,0,1,1,-1.073842765,1,0,2,1,1,1,1,1,1,0,0,3,-1.497667707,250,No
0,0,1,1,-0.748079855,1,0,1,0,0,0,0,0,2,0,1,0,0.536371821,290,No
0,0,0,0,-0.422316946,1,2,1,0,0,0,0,2,0,0,1,0,0.644388626,1378,No
1,0,1,1,-0.422316946,1,0,2,1,1,1,1,1,1,1,0,3,-1.482711534,3583,No
1,0,1,1,-0.666639128,1,0,0,2,0,2,0,2,0,2,0,3,-0.01700658,51,No
1,0,0,0,-0.91096131,1,2,2,1,1,1,1,1,1,2,0,0,-1.298252067,2166,No
0,0,0,1,-0.788800219,1,0,0,2,2,0,0,0,0,0,1,2,-0.291203085,5845,No
0,0,1,0,-0.503757673,1,2,1,2,0,0,0,0,0,0,0,2,0.586225731,1047,Yes
